year,earnings,revenue,gross_profit,number_of_shares,capitalization,,,
2024,88136000000,245122000000,171008000000,7431000000,3140000000000,,,
2023,72361000000,211915000000,146052000000,7446000000,2460000000000,,,
2022,72738000000,198270000000,135620000000,7496000000,2100000000000,,,
2021,61271000000,168088000000,115856000000,7519000000,2250000000000,,,
2020,44281000000,143015000000,96937000000,7571000000,1750000000000,,,
2019,39240000000,125843000000,82933000000,7643000000,1200000000000,,,
2018,16571000000,110360000000,72007000000,7700000000,811000000000,,,
2017,21204000000,89950000000,55689000000,7746000000,566000000000,,,
2016,16798000000,85320000000,52540000000,7925000000,449000000000,,,
2015,12193000000,93580000000,60542000000,8177000000,383000000000,,,
2014,22074000000,86833000000,59899000000,8299000000,362000000000,,,
2013,21863000000,77849000000,57600000000,8375000000,267000000000,,,
2012,16978000000,73723000000,56193000000,8396000000,249000000000,,,
2011,23150000000,69943000000,54366000000,8490000000,233000000000,,,
